zip3,destination,scf
059,WHITE RIV JCT VT 059,SCF WHITE RIV JCT VT 050
060,HARTFORD CT 060,SCF HARTFORD CT 060
061,HARTFORD CT 061U,SCF HARTFORD CT 060
062,HARTFORD CT 062,SCF HARTFORD CT 060
063,SOUTHERN CT 063,SCF SOUTHERN CT 064
064,SOUTHERN CT 064,SCF SOUTHERN CT 064
065,NEW HAVEN CT 065U,SCF SOUTHERN CT 064
066,BRIDGEPORT CT 066U,SCF SOUTHERN CT 064
067,WATERBURY CT 067,WATERBURY CT 067D
068,STAMFORD CT 068,SCF STAMFORD CT 068
069,STAMFORD CT 069U,SCF STAMFORD CT 068
070,NEWARK NJ 070,SCF NEWARK NJ 070
071,NEWARK NJ 071U,SCF NEWARK NJ 070
072,ELIZABETH NJ 072U,SCF NEWARK NJ 070
073,JERSEY CITY NJ 073U,SCF NEWARK NJ 070
074,PATERSON NJ 074,SCF NNJ METRO NJ 076
075,PATERSON NJ 075U,SCF NNJ METRO NJ 076
076,HACKENSACK NJ 076,SCF NNJ METRO NJ 076
077,MONMOUTH NJ 077,SCF MONMOUTH NJ 077
078,WEST JERSEY NJ 078,SCF WEST JERSEY NJ 079
079,WEST JERSEY NJ 079,SCF WEST JERSEY NJ 079
080,SOUTH JERSEY NJ 080,SCF SOUTH JERSEY NJ 080
081,CAMDEN NJ 081U,SCF SOUTH JERSEY NJ 080
082,SOUTH JERSEY NJ 082,SCF SOUTH JERSEY NJ 080
083,SOUTH JERSEY NJ 083,SCF SOUTH JERSEY NJ 080
084,ATLANTIC CITY NJ 084U,SCF SOUTH JERSEY NJ 080
085,TRENTON NJ 085,SCF TRENTON NJ 085
086,TRENTON NJ 086U,SCF TRENTON NJ 085
087,MONMOUTH NJ 087,SCF MONMOUTH NJ 077
088,KILMER NJ 088,SCF KILMER NJ 088
089,NEW BRUNSWICK NJ 089U,SCF KILMER NJ 088
100,NEW YORK NY 100U,SCF NEW YORK NY 100
101,NEW YORK NY 101U,SCF NEW YORK NY 100
102,NEW YORK NY 102U,SCF NEW YORK NY 100
103,STATEN ISLAND NY 103U,STATEN ISLAND NY 103D
104,BRONX NY 104U,BRONX NY 104D
105,WESTCHESTER NY 105,SCF WESTCHESTER NY 105
106,WHITE PLAINS NY 106U,SCF WESTCHESTER NY 105
107,YONKERS NY 107U,SCF WESTCHESTER NY 105
108,NEW ROCHELLE NY 108U,SCF WESTCHESTER NY 105
109,WESTCHESTER NY 109,SCF WESTCHESTER NY 105
110,QUEENS NY 110,SCF QUEENS NY 110
111,LONG ISLAND CITY NY 111U,SCF QUEENS NY 110
112,BROOKLYN NY 112U,SCF BROOKLYN NY 112
113,FLUSHING NY 113U,SCF QUEENS NY 110
114,JAMAICA NY 114U,SCF QUEENS NY 110
115,WESTERN NASSAU NY 115,WESTERN NASSAU NY 115D
116,FAR ROCKAWAY NY 116U,SCF BROOKLYN NY 112
117,MID-ISLAND NY 117,SCF MID-ISLAND NY 117
118,HICKSVILLE NY 118U,SCF MID-ISLAND NY 117
119,MID-ISLAND NY 119,SCF MID-ISLAND NY 117
120,ALBANY NY 120,SCF ALBANY NY 120
121,ALBANY NY 121,SCF ALBANY NY 120
122,ALBANY NY 122U,SCF ALBANY NY 120
123,SCHENECTADY NY 123U,SCF ALBANY NY 120
124,MID-HUDSON NY 124,SCF MID-HUDSON NY 125
125,MID-HUDSON NY 125,SCF MID-HUDSON NY 125
126,POUGHKEEPSIE NY 126U,SCF MID-HUDSON NY 125
127,MID-HUDSON NY 127,SCF MID-HUDSON NY 125
128,GLENS FALLS NY 128,GLENS FALLS NY 128D
129,PLATTSBURGH NY 129,PLATTSBURGH NY 129D
